Transaction ID,Customer ID,Order Timestamp,Channel,Revenue,Product
TXN100224,CUST4058,2026-05-28 09:27:00,Email,17.67,Throw Blanket
TXN100744,CUST1562,2026-07-27 20:12:00,Google Ads,59.28,Wall Art Print
TXN100107,CUST1920,2026-05-13 13:09:00,Meta Ads,75.33,Ceramic Vase
TXN100447,CUST2706,2026-06-22 16:50:00,Meta Ads,70.29,Ceramic Vase
TXN100363,CUST3978,2026-06-12 20:07:00,Meta Ads,42.91,Accent Chair
TXN100041,CUST3268,2026-05-05 14:37:00,Google Ads,94.9,Table Lamp
TXN100494,CUST2481,2026-06-27 09:58:00,Meta Ads,67.72,Bookshelf
TXN100463,CUST3925,2026-06-24 09:22:00,Google Ads,70.67,Area Rug
TXN100687,CUST3052,2026-07-20 20:27:00,Meta Ads,118.93,Candle Set
TXN100056,CUST3992,2026-05-06 22:09:00,Meta Ads,99.84,Table Lamp
TXN100560,CUST1190,2026-07-03 09:43:00,Meta Ads,93.88,Accent Chair
TXN100462,CUST4910,2026-06-24 11:18:00,Organic,109.03,Ceramic Vase
TXN100330,CUST1345,2026-06-08 12:02:00,Email,29.02,Table Lamp
TXN100606,CUST2210,2026-07-09 20:58:00,Meta Ads,49.19,Throw Blanket
TXN100709,CUST1032,2026-07-23 18:12:00,Meta Ads,56.0,Accent Chair
TXN100591,CUST4202,2026-07-08 14:20:00,Email,31.68,Candle Set
TXN100256,CUST3017,2026-05-31 10:06:00,Google Ads,56.44,Table Lamp
TXN100048,CUST3646,2026-05-06 10:03:00,Meta Ads,81.06,Candle Set
TXN100729,CUST4966,2026-07-26 18:25:00,Meta Ads,112.14,Wall Art Print
TXN100561,CUST3308,2026-07-04 08:11:00,Organic,42.6,Storage Basket
TXN100347,CUST4066,2026-06-10 21:14:00,Google Ads,14.0,Wall Art Print
TXN100353,CUST2167,2026-06-11 09:48:00,Organic,93.43,Wall Mirror
TXN100031,CUST1435,2026-05-04 16:53:00,Meta Ads,54.79,Wall Art Print
TXN100266,CUST1884,2026-06-01 14:21:00,Google Ads,55.54,Wall Mirror
TXN100409,CUST2843,2026-06-18 21:43:00,Meta Ads,100.76,Wall Art Print
TXN100129,CUST4766,2026-05-16 11:39:00,Organic,41.99,Wall Art Print
TXN100520,CUST1192,2026-06-30 18:41:00,Meta Ads,111.3,Candle Set
TXN100419,CUST4158,2026-06-19 15:41:00,Email,129.04,Table Lamp
TXN100342,CUST1634,2026-06-10 09:18:00,Email,187.67,Throw Blanket
TXN100374,CUST2386,2026-06-13 12:53:00,Google Ads,114.3,Area Rug
TXN100117,CUST4440,2026-05-14 15:49:00,Meta Ads,39.42,Wall Art Print
TXN100153,CUST2331,2026-05-19 12:31:00,Meta Ads,228.17,Table Lamp
TXN100132,CUST1866,2026-05-16 21:20:00,Google Ads,45.38,Storage Basket
TXN100646,CUST2135,2026-07-15 11:44:00,Organic,41.51,Wall Mirror
TXN100580,CUST3291,2026-07-06 14:36:00,Meta Ads,82.13,Wall Art Print
TXN100040,CUST2015,2026-05-05 14:04:00,Meta Ads,69.07,Storage Basket
TXN100346,CUST2492,2026-06-10 14:28:00,Google Ads,56.59,Bookshelf
TXN100724,CUST1432,2026-07-25 12:28:00,Google Ads,18.89,Area Rug
TXN100259,CUST3682,2026-05-31 10:53:00,Organic,33.11,Area Rug
TXN100252,CUST4368,2026-05-30 18:06:00,Meta Ads,186.5,Table Lamp
TXN100549,CUST2125,2026-07-03 16:01:00,Meta Ads,178.21,Wall Art Print
TXN100088,CUST1911,2026-05-11 13:52:00,Organic,40.38,Area Rug
TXN100393,CUST1132,2026-06-17 11:43:00,Email,98.36,Area Rug
TXN100190,CUST4125,2026-05-23 12:30:00,Meta Ads,80.57,Wall Art Print
TXN100133,CUST2552,2026-05-16 15:48:00,Meta Ads,72.59,Candle Set
TXN100091,CUST2143,2026-05-12 18:41:00,Email,131.71,Wall Art Print
TXN100278,CUST2126,2026-06-02 17:24:00,Google Ads,58.29,Bookshelf
TXN100253,CUST3537,2026-05-30 17:58:00,Meta Ads,39.52,Bookshelf
TXN100457,CUST2009,2026-06-24 15:35:00,Google Ads,61.01,Accent Chair
TXN100739,CUST3967,2026-07-26 19:31:00,Meta Ads,72.68,Ceramic Vase
TXN100100,CUST2336,2026-05-13 19:44:00,Meta Ads,97.4,Accent Chair
TXN100590,CUST2631,2026-07-08 17:18:00,Google Ads,31.18,Area Rug
TXN100384,CUST1323,2026-06-14 20:38:00,Meta Ads,22.67,Wall Mirror
TXN100042,CUST3899,2026-05-05 08:14:00,Google Ads,127.8,Throw Blanket
TXN100179,CUST3432,2026-05-22 22:18:00,Meta Ads,121.42,Ceramic Vase
TXN100201,CUST2794,2026-05-24 22:07:00,Organic,66.46,Ceramic Vase
TXN100017,CUST4790,2026-05-03 14:43:00,Google Ads,40.08,Storage Basket
TXN100377,CUST4240,2026-06-13 13:56:00,Google Ads,86.94,Ceramic Vase
TXN100519,CUST3280,2026-06-30 12:40:00,GOOGLE ADS,70.28,Candle Set
TXN100575,CUST4118,2026-07-05 15:06:00,Meta Ads,37.01,Wall Mirror
TXN100350,CUST3059,2026-06-11 20:10:00,Meta Ads,83.48,Table Lamp
TXN100398,CUST1878,2026-06-17 16:44:00,Meta Ads,62.74,Area Rug
TXN100671,CUST3773,2026-07-18 11:04:00,Meta Ads,49.13,Wall Art Print
TXN100681,CUST3046,2026-07-19 09:33:00,Google Ads,78.86,Ceramic Vase
TXN100588,CUST4373,2026-07-08 11:19:00,Meta Ads,51.89,Storage Basket
TXN100078,CUST2751,2026-05-09 07:07:00,Meta Ads,18.63,Throw Blanket
TXN100280,CUST3666,2026-06-02 13:27:00,Organic,78.36,Area Rug
TXN100066,CUST4832,2026-05-08 09:00:00,Organic,61.36,Area Rug
TXN100038,CUST1867,2026-05-05 13:45:00,Meta Ads,50.4,Accent Chair
TXN100636,CUST2502,2026-07-14 08:48:00,Organic,70.05,Area Rug
TXN100429,CUST4539,2026-06-20 20:15:00,Email,34.66,Wall Mirror
TXN100640,CUST1970,2026-07-14 13:51:00,Meta Ads,34.71,Bookshelf
TXN100662,CUST2476,2026-07-17 15:05:00,Google Ads,118.74,Storage Basket
TXN100004,CUST3298,2026-05-01 13:45:00,Meta Ads,32.12,Wall Art Print
TXN100098,CUST3720,2026-05-12 17:39:00,Google Ads,42.29,Storage Basket
TXN100598,CUST3449,2026-07-08 22:37:00,Google Ads,62.46,Candle Set
TXN100695,CUST3142,2026-07-20 15:10:00,Email,33.36,Storage Basket
TXN100756,CUST1719,2026-07-28 22:02:00,Meta Ads,44.01,Throw Blanket
TXN100055,CUST4211,2026-05-06 21:18:00,Google Ads,133.89,Candle Set
TXN100177,CUST2083,2026-05-22 09:10:00,Meta Ads,67.21,Table Lamp
TXN100171,CUST3811,2026-05-21 08:09:00,Meta Ads,99.2,Wall Mirror
TXN100149,CUST2106,2026-05-18 22:29:00,Email,33.33,Candle Set
TXN100061,CUST1963,2026-05-07 19:07:00,Meta Ads,39.35,Bookshelf
TXN100069,CUST4601,2026-05-08 14:23:00,Organic,49.24,Accent Chair
TXN100369,CUST3737,2026-06-13 09:33:00,Google Ads,78.38,Storage Basket
TXN100517,CUST3449,2026-06-30 17:15:00,Google Ads,35.12,Accent Chair
TXN100440,CUST4255,2026-06-22 17:35:00,Google Ads,23.48,Storage Basket
TXN100596,CUST1570,2026-07-08 16:15:00,Meta Ads,45.26,Accent Chair
TXN100532,CUST3849,2026-07-01 13:25:00,Organic,125.93,Table Lamp
TXN100496,CUST2343,2026-06-27 21:07:00,Google Ads,34.57,Table Lamp
TXN100415,CUST3560,2026-06-18 16:39:00,Google Ads,,Wall Art Print
TXN100522,CUST1753,2026-06-30 22:15:00,Google Ads,147.68,Table Lamp
TXN100081,CUST2493,2026-05-10 08:57:00,Google Ads,111.19,Storage Basket
TXN100735,CUST4329,2026-07-26 09:01:00,Google Ads,59.05,Throw Blanket
TXN100144,CUST3459,2026-05-18 10:50:00,Organic,59.78,Bookshelf
TXN100611,CUST2405,2026-07-10 10:43:00,Google Ads,75.34,Wall Mirror
TXN100653,CUST3856,2026-07-16 18:54:00,Meta Ads,38.65,Throw Blanket
TXN100567,CUST4435,2026-07-04 09:21:00,Meta Ads,81.59,Bookshelf
TXN100063,CUST3390,2026-05-08 17:59:00,Google Ads,71.19,Accent Chair
TXN100289,CUST1871,2026-06-03 11:42:00,Meta Ads,90.03,Area Rug
TXN100371,CUST2584,2026-06-13 18:16:00,Google Ads,25.09,Ceramic Vase
TXN100569,CUST2119,2026-07-05 21:31:00,Google Ads,46.7,Table Lamp
TXN100090,CUST2632,2026-05-12 17:17:00,Meta Ads,25.38,Throw Blanket
TXN100612,CUST4033,2026-07-10 14:33:00,Organic,15.12,Wall Mirror
TXN100563,CUST2225,2026-07-04 12:36:00,Organic,83.49,Table Lamp
TXN100760,CUST3886,2026-07-29 11:49:00,Google Ads,132.57,Throw Blanket
TXN100394,CUST2523,2026-06-17 21:48:00,Email,25.84,Throw Blanket
TXN100451,CUST2715,2026-06-23 11:26:00,Meta Ads,67.07,Table Lamp
TXN100432,CUST1368,2026-06-21 19:32:00,META ADS,77.19,Area Rug
TXN100455,CUST3183,2026-06-24 17:34:00,Meta Ads,43.2,Storage Basket
TXN100450,CUST4883,2026-06-23 10:12:00,Google Ads,45.98,Ceramic Vase
TXN100028,CUST3199,2026-05-04 15:49:00,Meta Ads,46.03,Storage Basket
TXN100198,CUST1004,2026-05-24 21:26:00,Organic,48.36,Ceramic Vase
TXN100322,CUST1279,2026-06-07 22:28:00,Google Ads,9.01,Accent Chair
TXN100222,CUST4519,2026-05-27 19:20:00,Organic,71.98,Area Rug
TXN100092,CUST4455,2026-05-12 17:01:00,Google Ads,50.22,Throw Blanket
TXN100011,CUST3533,2026-05-02 18:36:00,Organic,95.04,Table Lamp
TXN100268,CUST3212,2026-06-01 15:51:00,Email,86.85,Wall Mirror
TXN100046,CUST1779,2026-05-06 10:06:00,Organic,66.27,Candle Set
TXN100323,CUST3422,2026-06-07 08:22:00,Meta Ads,66.68,Wall Art Print
